Data Generated by,Optosky
File Version:,1.2
标题,2407261539186 80mw 1000ms
操作员,admin
描述,50度
扫描时间,2024/7/26 15:39:18
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,14088.0,13311.0,777.0,328.8104759742993
1,195.9722,14088.0,13311.0,777.0,326.2838431133966
2,198.7144,14088.0,13311.0,777.0,323.3074742812171
3,201.4558,14088.0,13311.0,777.0,319.8621096767474
4,204.1965,14088.0,13311.0,777.0,315.87148418567466
5,206.9364,14088.0,13311.0,777.0,311.27300700254875
6,209.6757,14088.0,13311.0,777.0,305.9830266441835
7,212.4141,14088.0,13311.0,777.0,299.9227271230283
8,215.1519,14088.0,13311.0,777.0,293.14824559876433
9,217.8889,14145.0,13488.0,657.0,285.7582064919022
10,220.6251,13978.0,13337.0,641.0,277.8185059776901
11,223.3606,13897.0,13165.0,732.0,269.4150798505701
12,226.0954,13863.0,13192.0,671.0,260.61527670723996
13,228.8294,13824.0,13213.0,611.0,251.46572010253664
14,231.5626,13832.0,13130.0,702.0,242.07323766985226
15,234.2951,13771.0,13094.0,677.0,232.54238076412403
16,237.0269,13722.0,13024.0,698.0,222.8923757675464
17,239.7578,13603.0,12994.0,609.0,213.1329782615471
18,242.4881,13558.0,12938.0,620.0,203.25985908027116
19,245.2175,13442.0,12823.0,619.0,193.25817163388203
20,247.9463,13389.0,12823.0,566.0,183.19605304341746
21,250.6742,13349.0,12828.0,521.0,173.15924128269327
22,253.4014,13415.0,12845.0,570.0,163.1967672852813
23,256.1278,13261.0,12733.0,528.0,153.36557024796326
24,258.8534,13259.0,12725.0,534.0,143.6931928947517
25,261.5783,13296.0,12753.0,543.0,134.1823189114368
26,264.3024,13412.0,12762.0,650.0,124.89961954544688
27,267.0258,13281.0,12658.0,623.0,115.90814288741242
28,269.7483,13160.0,12618.0,542.0,107.19071532489129
29,272.4701,13231.0,12706.0,525.0,98.73760558065135
30,275.1911,13274.0,12754.0,520.0,90.51003800169381
31,277.9114,13164.0,12637.0,527.0,82.46591530357514
32,280.6308,13218.0,12559.0,659.0,74.71447176948362
33,283.3495,13158.0,12693.0,465.0,67.40424825840421
34,286.0674,13149.0,12651.0,498.0,60.63187487876127
35,288.7845,13157.0,12635.0,522.0,54.50898073482733
36,291.5008,13110.0,12656.0,454.0,49.10689639232719
37,294.2163,13255.0,12885.0,370.0,44.45782804252758
38,296.9311,13449.0,13062.0,387.0,40.67315511295643
39,299.645,13308.0,12927.0,381.0,37.84413139521828
40,302.3582,13130.0,12723.0,407.0,35.93799162884156
41,305.0706,13115.0,12732.0,383.0,34.908361469624886
42,307.7822,13229.0,12822.0,407.0,34.6360449201038
43,310.4929,13312.0,12825.0,487.0,34.98207656951938
44,313.2029,13154.0,12697.0,457.0,35.972671918371475
45,315.9121,13187.0,12757.0,430.0,37.64283653425044
46,318.6205,13165.0,12714.0,451.0,40.00780207953355
47,321.3281,13224.0,12783.0,441.0,43.0884208607734
48,324.0349,13374.0,12952.0,422.0,46.725693422587305
49,326.7409,13269.0,12860.0,409.0,50.699756989009295
50,329.4461,13243.0,12736.0,507.0,54.89566139932427
51,332.1504,13200.0,12655.0,545.0,59.17869810586254
52,334.854,13184.0,12735.0,449.0,63.402967819545445
53,337.5567,13187.0,12808.0,379.0,67.47343685416095
54,340.2587,13182.0,12674.0,508.0,71.1750607062133
55,342.9598,13199.0,12728.0,471.0,74.32074243264165
56,345.6601,13110.0,12725.0,385.0,76.97978522266204
57,348.3596,13136.0,12687.0,449.0,79.25980777889049
58,351.0583,13059.0,12678.0,381.0,81.35795722663367
59,353.7562,13209.0,12793.0,416.0,83.5077406424229
60,356.4532,13643.0,13106.0,537.0,85.66533844681265
61,359.1495,13541.0,13068.0,473.0,87.75718531312017
62,361.8449,13018.0,12649.0,369.0,89.7746919960662
63,364.5395,13081.0,12581.0,500.0,91.69250078231923
64,367.2332,13154.0,12622.0,532.0,93.72086315764079
65,369.9262,12989.0,12517.0,472.0,96.16440412908287
66,372.6183,12894.0,12494.0,400.0,99.12821384340887
67,375.3095,12925.0,12512.0,413.0,102.73877367086466
68,378.0,12906.0,12492.0,414.0,107.22218783357609
69,380.6896,12917.0,12425.0,492.0,112.72968123335099
70,383.3784,12774.0,12290.0,484.0,119.57800758512178
71,386.0664,12871.0,12369.0,502.0,128.04468101600963
72,388.7535,12888.0,12340.0,548.0,137.92455639891043
73,391.4398,12573.0,12160.0,413.0,148.91208542890456
74,394.1252,12538.0,12076.0,462.0,160.63839333389927
75,396.8098,12551.0,12063.0,488.0,172.6659787811891
76,399.4936,12505.0,12146.0,359.0,184.91890249091927
77,402.1765,12584.0,12196.0,388.0,197.3862402847277
78,404.8586,12630.0,12126.0,504.0,209.8989290392363
79,407.5399,12517.0,11858.0,659.0,222.3138746113917
80,410.2203,12587.0,11861.0,726.0,234.31811277522652
81,412.8998,12652.0,11979.0,673.0,245.49668190792127
82,415.5785,12500.0,11914.0,586.0,255.7038995308695
83,418.2564,12453.0,11889.0,564.0,264.785654752189
84,420.9334,12272.0,11623.0,649.0,272.34479848235213
85,423.6096,12445.0,11628.0,817.0,278.0533421970681
86,426.2849,12440.0,11665.0,775.0,281.44102419129626
87,428.9593,12136.0,11519.0,617.0,282.07633070992665
88,431.6329,12148.0,11440.0,708.0,280.16749958703224
89,434.3057,12188.0,11401.0,787.0,276.0913160073122
90,436.9775,12224.0,11518.0,706.0,270.19930920179485
91,439.6486,12128.0,11604.0,524.0,262.93496996128084
92,442.3187,11712.0,11237.0,475.0,254.44768801048474
93,444.9881,11682.0,11046.0,636.0,244.80139141680687
94,447.6565,11482.0,10878.0,604.0,234.29060478347154
95,450.3241,11312.0,10749.0,563.0,223.18998833198853
96,452.9908,11406.0,10766.0,640.0,211.73634129501988
97,455.6567,11492.0,10876.0,616.0,200.21863428591195
98,458.3217,11495.0,10997.0,498.0,188.71566751392132
99,460.9858,11297.0,10811.0,486.0,177.29492278122194
100,463.6491,11094.0,10662.0,432.0,166.32925546769656
101,466.3114,11035.0,10619.0,416.0,156.1724768255522
